1211281,2019-09-27,14:31:54.758319,17:36:21.756739
63524,2019-09-27,14:58:41.575209,17:01:53.023956
1208144,2019-09-27,14:58:46.169404,18:06:52.137659
1211641,2019-09-27,15:02:59.181182,18:02:32.725977
1212220,2019-09-27,15:03:18.731658,17:01:20.316254
11001246,2019-09-27,15:03:26.123934,16:55:58.894615
905051,2019-09-27,15:03:30.302332,
11002184,2019-09-27,15:03:31.534055,16:47:58.497360
2008415,2019-09-27,15:03:36.430169,16:57:47.254310
926163,2019-09-27,15:03:43.470488,16:58:34.570247
953276,2019-09-27,15:03:51.162477,18:07:08.297559
1212009,2019-09-27,15:03:56.688567,17:00:36.756054
1210246,2019-09-27,15:03:58.060716,18:08:07.547546
1211312,2019-09-27,15:04:02.202764,16:58:23.634279
14000115,2019-09-27,15:04:12.789362,16:50:05.932230
2002047,2019-09-27,15:04:21.447183,
907409,2019-09-27,15:04:44.874616,
2003624,2019-09-27,15:04:48.220134,18:07:26.499541
11006287,2019-09-27,15:04:55.144012,17:01:43.529941
2007624,2019-09-27,15:05:02.394254,16:35:55.132725
2001198,2019-09-27,15:05:24.071272,16:46:33.360278
11000675,2019-09-27,15:05:41.581218,16:34:04.594396
11005086,2019-09-27,15:06:03.833614,
1211823,2019-09-27,15:06:08.051851,17:01:33.336014
0462379422,2019-09-27,15:06:14.184054,17:01:30.754131
11000348,2019-09-27,15:06:19.084241,16:35:32.114648
11001124,2019-09-27,15:06:23.650240,16:34:19.918493
11001764,2019-09-27,15:06:27.560573,16:34:33.214484
11002043,2019-09-27,15:06:31.824410,15:06:32.068900
11902043,2019-09-27,15:06:31.946508,
01760000,2019-09-27,15:06:32.984996,
2001511,2019-09-27,15:06:35.556648,16:46:51.932078
11001970,2019-09-27,15:06:38.356676,16:34:41.968509
11001770,2019-09-27,15:06:41.542785,16:43:52.110537
1211635,2019-09-27,15:06:47.488965,17:00:18.314353
4115843,2019-09-27,15:06:57.103106,17:00:33.852320
4116254,2019-09-27,15:07:04.121108,16:46:17.310404
1212178,2019-09-27,15:07:08.027210,16:28:54.112228
11006143,2019-09-27,15:07:13.246150,17:01:25.532077
